city,country,latitude,longitude
Marbel,Philippines,7.1756111,124.9231052
Huoxian,China,35.429135,104.030413
Huze,China,27.859517,114.758301
Shaliangzi,China,37.910325,93.341907
San Simon,Philippines,14.9973644,120.7777605
Guandukou,China,31.052914,110.332814
Kampunganyar,Indonesia,-8.1714502,114.2806558
Zhangaqorghan,Kazakhstan,43915,67.24806
Sysert’,Russia,56.5023602,60.8150629
Leer,South Sudan,8.296968,30.1531568
Sanmiaoqian,China,28.976995,116.762907
Antony,France,48.8753655,2.3405004
Nacka,Sweden,59.3104563,18.0995725
Nagarakembang,Indonesia,-7.0453161,108.3311815
Ciudad Vieja,Guatemala,14.52309,-90.764589
Ciroyom,Indonesia,-6.9149429,107.5890217
Ar Rawḑah,Syria,33.5210036,36.2861306
Pak Chom,Thailand,18.0226967,101.8812323
Yuefeng,China,30.628795,104.0436982
Mungwi,Zambia,-10.1683268,31.3484448
Henggouqiao,China,29.932442,114.36947
Kananga,Democratic Republic of the Congo,-5.897522,22.4172256
Pendiqing,China,39.94191,112.00383
Casal Galego,Portugal,39.7541856,-8.9232253
Sainyabuli,Laos,19.1945799,101.483498
Maracanaú,Brazil,-3.879263,-38.612338
Tarbes,France,50.4734865,2.9394741
Krasnogvardeyets,Russia,57.9258984,59.970317
Saint-Brieuc,France,48.5116663,-2.7393345
Koani Ndogo,Tanzania,-6.13333,39.28333
Ciguha Tengah,Indonesia,-7.04383,106.82849
Fort Smith,United States,35.3756077,-94.4313928
Velille,Peru,-14.51688,-71.88636
Guaçuí,Brazil,-20.7784132,-41.6847632
Santander de Quilichao,Colombia,3.01228,-76.484533
Rancabelut,Indonesia,-6.8686728,107.516493
Osogbo,Nigeria,7.7826709,4.5418141
Oebobo,Indonesia,-10.1701129,123.6231723
Novoshakhtinskiy,Russia,47.7557543,39.9363328
Mueang Nonthaburi,Thailand,13.9210992,100.5219418
Krasiczyn,Poland,49.7762204,22.6525426
Pomacocha,Peru,-14.0845123,-73.5903296
Chunghwa,North Korea,38.8605311,125.7898106
Loma Bonita,Mexico,18.1096868,-95.8803869
Xinxu,China,22.863502,114.333767
Đống Đa,Vietnam,21.0180725,105.8299495
Oyan,Nigeria,8.0462732,4.7639811
Ringinagung,Indonesia,-7.6645385,111.3158022
Hernández,Argentina,-32.9589969,-68.8502434
Rantauambacang,Indonesia,-1.3793386,101.9062829
Wirodayan,Indonesia,-8.2133,114.3701
Port Washington,United States,40.8395426,-73.7023905
Niamtougou,Togo,9.7437515,1.1161166
Jelcz,Poland,50.4465359,19.894509
Kaberamaido,Uganda,1.7642785,33.1506163
Mangochi,Malawi,-14.4861733,35.253304
Kampungmasjid,Indonesia,-6.490877,106.7952511
Xianrendu,China,32.253408,111.728218
Zhob,Pakistan,31.6532755,69.4038491
Borås,Sweden,57.7313899,12.9130426
Bayramaly,Turkmenistan,37.6156855,62.1571349
Tujing,China,25.489999,103.796167
Broshniv-Osada,Ukraine,48.9942371,24.1867294
Xilanqi,China,40.174881,123.52481
Jadi,Indonesia,-6.9528113,111.9880199
Lunik,Albania,41.2870015,20.321945
Kamphaeng Phet,Thailand,16.4739491,99.5096031
San José de Mayo,Uruguay,-34.3486042,-56.7075141
Bordeaux,France,45.697904,0.964671
Kebunkelapa,Indonesia,3.8788254,98.478759
Mehar,Pakistan,27.1668637,67.8288595
Verkhniy Landekh,Russia,56.8408003,42.5992867
Turi,Indonesia,1.1963019,104.1019324
Kangshan,China,39.630867,118.180193
Zyablikovo,Russia,55.619557,37.754824
Jōetsu,Japan,37.0909826,138.1698009
Labuhanlalar,Indonesia,-8.8071005,116.8174054
Bazhu,China,28.9456318,111.7021355
Yaita,Japan,36.8079089,139.9200321
Sumpur Kudus,Indonesia,-0.4050276,100.9354944
Washington,United States,38.9080786,-77.0406147
Tarxien,Malta,35.8659607,14.5139265
Eldoret,Kenya,0.5142775,35.2697802
Bundibugyo,Uganda,0.707531,30.0636349
Mitú,Colombia,1.256633,-70.2359058
Sychëvo,Russia,55.9576019,36.2249059
Phu Loc,Vietnam,16.2725431,107.9394761
Huaidao,China,38.677426,112.253935
Limón,Costa Rica,9.93689,-83.00685
El Calafate,Argentina,-51.6415071,-69.2304627
Pefkochóri,Greece,39.9880319,23.6140148
Cipari,Indonesia,-7.4066528,108.7719766
Estância Velha,Brazil,-29.6540396,-51.1848488
Widuchowa,Poland,53.1395216,14.4504726
Montreuil,France,48.8505771,2.4273906
Curry,Philippines,11.7744786,124.8827037
Lianzhu,China,28.607879,119.435806
Amnat Charoen,Thailand,12.0554892,99.855247
Huanglong,China,32.748741,103.82319
Na Chueak,Thailand,15.7734482,103.0472164
Horred,Sweden,57.3550131,12.4765885
Hermoso Campo,Argentina,-31.0767358,-64.4833187
Akwanga,Nigeria,8.9066616,8.4074573
Kalpin,China,40.508339,79.047291
Patenongan,Indonesia,-7.0009,113.8811
Lincheng,China,37.444498,114.498761
Ping’an,China,31.2221,121.457658
Baraya,Colombia,3.1852692,-74.9208772
Pirapora,Brazil,-17.3410721,-44.9449465
Tigbaw,Philippines,11.1179302,123.0099723
Bauang,Philippines,14.7299584,121.050452
Dongdong,China,23.3790333,113.7632828
Giawang,Philippines,9.7922,124509
Varge Mondar,Portugal,38.7554084,-9.3408903
Stanisław Górny,Poland,49.8922979,19.621588
General Roca,Argentina,-34.5331768,-58.4950475
Bekwai,Ghana,6.4532257,-1.5838477
Saintes,France,43.3423246,1.2606792
Jakubów,Poland,52.2309398,21.6932492
Creil,France,49.243003,2.510652
Oslo,Norway,59.8913759,10.680635
Tashkent,Uzbekistan,41.2994958,69.2400734
Barang,Indonesia,-8.2202049,111.4708135
Puchong,Malaysia,3.0015321,101.6184908
Nanping,China,26.641774,118.17771
Zeerust,South Africa,-25.5468699,26.07191
Krajan,Indonesia,-7.5450262,111.6556388
Changzhi,China,36.195409,113.116404
At Tawāhī,Yemen,12.7871909,44.9836775
Miranda,Colombia,3.251528,-76.229027
Mach,Pakistan,29.8677682,67.3202088
Cache Creek,Canada,50.81011,-121.3246
Karanganyarkrajan,Indonesia,-6.8243672,110.7880536
Myślenice,Poland,49.83347,19.93965
Xinqiao,China,31.058765,121.315718
Nālūt,Libya,31.8742348,10.9750484
Malino,Philippines,14.295795,120.9905117
Pocsi,Peru,-16.5043107,-71.3616546
Jankowice,Poland,50.0026509,18.9881936
Ust’-Koksa,Russia,50.270819,85.613152
Sartrouville,France,48.9378251,2.1570562
Zielonki,Poland,50.133176,19.9262381
Kota Bharu,Malaysia,6.1097207,102.2462087
Huanghai,China,40.0792114,124.3337947
Varennes,Canada,45.6834469,-73.4248393
Shangyi,China,41.076226,113.969618
Lons-le-Saunier,France,46.6693059,5.5466073
Mmathubudukwane,Botswana,-24.6,26.43
Nivnice,Czech Republic,48.9746444,17.6475832
Bitica,Equatorial Guinea,1.4243635,9.6216084
Karangharjo,Indonesia,-6.7050629,111.6198661
Selaparang Timur,Indonesia,-8.5738445,116.1093533
Youhua,China,39.948572,116.420192
Lappi,Finland,61.9676727,26.3974095
Muang Sam Sip,Thailand,15.5106977,104.7264617
Tandag,Philippines,9.090009,126.162783
Tembisa,South Africa,-25.99566,28.1971031
Zhangtan,China,29.963494,118.331054
Tonglin,China,30.945515,117.81154
Kwekwe,Zimbabwe,-18.9201331,29.8236554
Kayar,Senegal,14.9165428,-17.1203909
Byala,Bulgaria,42.8494142,27.7900409
Kanlagay,Philippines,5.87568,121.29146
Pilluana,Peru,-6.7764491,-76.2899071
Bueng Samakkhi,Thailand,16.167313,99.950724
Gap,France,48.8588363,2.3477753
Pontevedra,Spain,42.4385891,-8.5995773
Kalate,Indonesia,-8.5693726,118.6557911
Hrazdan,Armenia,40.5353559,44.7695698
Chust Shahri,Uzbekistan,41.005341,71.236153
Acobamba,Peru,-12.8435129,-74.569682
Lukovica pri Domžalah,Slovenia,46.1696293,14.6907259
Odiongan,Philippines,12.405227,121.990643
Nauchnyy Gorodok,Russia,53.4167481,83.5264334
Parakou,Benin,9.3466822,2.6090043
Lubichowo,Poland,53.8514527,18.3991666
Livádion,Greece,37.1426639,24.5137742
Qianxu Zhen,China,30.7765271,121.247793
Shelabolikha,Russia,53.4066765,82.6293575
Bol,Chad,13.470554,14.707735
Aurora,Philippines,14.5458392,121.0044883
Sundsvall,Sweden,62.3946271,17.2842162
Zeist,Netherlands,52.066952,5.2407431
Jiangtian,China,43.635681,125.5851039
Konggar,China,29.29389,90.98708
Dikirnis,Egypt,31.060387,31.6511258
Rafaḩ,Egypt,31.2802667,34.2401914
Guozhen,China,34.351432,107.387303
Sumbersarikrajan,Indonesia,-8.0650276,113.8011498
Ambarita,Indonesia,2.6715181,98.8087151
Luz de Tavira,Portugal,37.0914183,-7.7047624
Tongzha,China,31.487889,118.136378
Regueiro,Portugal,42.0938285,-8.2570282
Satita,Syria,34.8190348,36.1192307
Diez de Octubre,Cuba,23.0962864,-82.3614632
Kalodzishchy,Belarus,53944,27.7823
Bugene,Tanzania,-1.5923262,31.1419058
Nuevo Berlín,Uruguay,-32.9809545,-58.0470008
Moriki,Nigeria,12.8776754,6.4903141
Panenggoede,Indonesia,-9.6701,119.0511
Beitai,China,21.481291,109.120161
La Roxas,Philippines,14.6103278,121.0080574
Brodnica,Poland,52.138523,16.8924785
Ciudad Choluteca,Honduras,13.3198572,-87.1622344
Živinice,Bosnia and Herzegovina,44.4466286,18.6510559
Miaotou,China,40.657978,109.840313
Stockholm,Sweden,59.3354247,18.067173
Pemzashen,Armenia,40.5854016,43.9362677
La Cueva,Bolivia,-20.4557393,-63.5186518
Pang,Philippines,14.3870657,120.9396932
Xiaheqing,China,39.553172,98.981746
Tanahedang,Indonesia,-8.5534,122.9028
Russkaya Polyana,Russia,53.778695,73.8784471
Ḩajjah,Palestinian Territory,32.20427,35.13077
Municipio de Copacabana,Colombia,6.323976,-75.4985521
Maanĭt,Mongolia,45.8309803,94.80205
Conde,Portugal,41.3922962,-8.3323796
Otaru,Japan,32.9267098,130.845304
Yuanda,China,41.8136349,123.5288621
Itapemirim,Brazil,-20.9829904,-40.9990597
Hamhŭng,North Korea,39.9838002,127.6124552
Roanoke,United States,42.4681713,-83.1589716
Wleń,Poland,51.0176058,15.677587
Lakha Nëvre,Russia,43.6237019,45.3376515
Valerianovsk,Russia,58.760833,59.5550001
Muang Sing,Laos,21.1881873,101.1504111
Panoongan,Indonesia,-7.3251485,108.3607464
Vahdat,Tajikistan,38.560256,69.0165511
Kobleve,Ukraine,46.6274254,31.1947408
Maricá,Brazil,-22.9192526,-42.8163587
Ungheni,Moldova,47.2262024,27.7917874
Ban Talat Yai,Thailand,7.9122744,98.3459726
Rzhev,Russia,56.2621893,34.3028279
Nikinci,Serbia,44.8237819,19.8828847
Saint Paul,United States,44.9688472,-93.1315648
Puszczykowo,Poland,52.2828507,16.8550365
Korsze,Poland,54.16967,21.13909
Tumpukrenteng,Indonesia,-8.128563,112.6943559
Gampola,Sri Lanka,7.145296,80.568823
Jiangluo,China,33.888816,105.82972
La Roche-sur-Yon,France,46.7152613,-1.4517985
Vohibinany,Madagascar,-18.8200534,49.0652963
Ängelholm,Sweden,56.2716397,12.8632487
Sypniewo,Poland,53.0155306,21.3375451
Tembeling,Indonesia,1.008763,104.470164
Guadalupe,Mexico,25.6765837,-100.2602364
Austin,United States,30.181965,-97.9701846
Pobral,Portugal,38.9254193,-9.3894213
Arapuey,Venezuela,9.25,-70.95
Mashan,China,45.212088,130.478187
Tanahwulan,Indonesia,-8.0038635,113.7216313
Gantang,China,30.9578398,107.8655766
Länsi-Turunmaa,Finland,60.303444,22.300981
Fram,Paraguay,-27.097026,-56.0166377
La Loma,Mexico,19.3608203,-99.2577715
Callanca,Peru,-13.5066591,-71.9927391
Dalan,China,38.914003,121.614682
San Miguel,Costa Rica,9.8741891,-84.0605696
Koanara,Indonesia,-8.7458539,121.8505679
Bobon,Philippines,12.5200531,124.5372661
Tianzhen,China,40.420237,114.090867
Manika,Philippines,11.4820004,122.3040009
Wielka Nieszawka,Poland,52.9961639,18.509675
Bafoussam,Cameroon,5.4807517,10.4284178
Jacarezinho,Brazil,-23.1734868,-49.9783088
Kāshmar,Iran,35.2434225,58.468709
Bhadrapur,Nepal,26.5363305,88.0803051
Lelystad,Netherlands,52.5077777,5.4757709
Xindu,China,30.823499,104.158705
Navegantes,Brazil,-26.8947924,-48.6550692
Sendafa,Ethiopia,9.1495559,39.0241756
Mtsensk,Russia,53.286578,36.5904759
Hiji,Japan,26.7255231,128.1765722
Guanchao,China,27.882587,114.870554
Palenggihan,Indonesia,-6.9621,112.9277
Kameda-honchō,Japan,41.8905758,140.6934778
Patenongan,Indonesia,-7.0009,113.8811
Bonik,Indonesia,-10.2024984,123.5988052
Bejuco,Panama,8.606157,-79.8884819
Xiabuji,China,26.885704,120.005147
Matagami,Canada,49.75018,-77.63277
Mabilog,Philippines,10.6936663,122.5655726
Lingxi,China,29.367984,111.177234
Outing,China,23.408913,116.718004
Kosów Lacki,Poland,52.596028,22.1470031
Buyant,Mongolia,48.1735752,91.7678144
Lagayan,Philippines,17.775429,120.683745
Bené Beraq,Israel,32.084932,34.835226
Shuanglu,China,30.574474,103.923651
Moganshan,China,30.6297222,119.8255556
Łaszczów,Poland,50.5332417,23.7255557
Nunutba,Indonesia,-10.2183,123.6274
Oslo,Norway,59.9123889,10.8335476
Niquero,Cuba,20.0390282,-77.5791358
Chengzhong,China,24.315499,109.410683
Ruen,Bulgaria,42.7996836,27.2454348
Xiejiaya,China,44.441584,126.4510829
Nuamuzi,Indonesia,-8.8567,121012
Niort,France,46.3194856,-0.4546217
Zhendong,China,34.137139,120.227624
Kuloy,Russia,61.030613,42.4853941
Meget,Russia,52.4242797,104.0456397
Valle Grande,Argentina,-34.5128294,-58.5125025
Funan Chengguanzhen,China,32.6350368,115.5777522
Plast,Russia,54.4915943,60.7871278
Makata,Malawi,-15.7874406,35.030814
Zheleznogorsk-Ilimskiy,Russia,56.6175886,104.1948978
Tianxin,China,28.112525,112.989854
Sindangsari,Indonesia,-7.811056,108.438797
Babakan,Indonesia,-6.588201,106.804564
Jieshipu,China,28.262375,109.698015
Tracal,Indonesia,-6.9834604,112.3367573
Seres,Philippines,8.3839026,123.2857418
El Cardo,Peru,-5.85,-79.8833329
Stepojevac,Serbia,44.5043184,20.2873726
Caluquembe,Angola,-13.7866658,14.687936
Dortmund,Germany,51.4918437,7.5319762
Tōbetsu,Japan,41.737365,140.5800948
Shadui,China,27.602752,107.709916
Tabogon,Philippines,10.9318486,124.0280263
Pisões,Portugal,39.7177351,-8.5280694
Manaloal,Philippines,14.6419036,121.0120679
Nai Harn,Thailand,7.7785093,98.3031575
Göteborg,Sweden,57.7316019,12.0703707
Zhoushizhuang,China,40.115306,113.457407
Sokółka,Poland,52.6057865,21.8949682
Sukasenang,Indonesia,-7.4111208,108.1221146
Abuyog,Philippines,10.668154,125.042795
Wujing,China,25.261992,114.593792
Ciseda,Indonesia,-6.7796462,107.9276672
Springfield,United States,42.1144473,-72.4909026
Nangxian,China,29.046337,93.074702
Watulumbung,Indonesia,-7.8028722,113.007156
Long Beach,United States,33.7684556,-118.2022212
San José de Bocay,Nicaragua,13.5438483,-85.5399774
Santo Domingo,Philippines,13.2317498,123.7702587
Haoxinying,China,40.88222,111715
San Francisco,Philippines,8.508983,125.969667
Fuhe,China,47.298877,132.09903
Cuevas,Philippines,14.5823299,120.9946341
Tokombere,Nigeria,11.2210043,13.4876688
Bologna,Italy,44.4645876,11.3727437
Rat Burana,Thailand,13.6730341,100.5014909
Mentaraman Satu,Indonesia,-8.1924285,112.7011258
Cisompet,Indonesia,-7.5625591,107.7873095
Bollnäs,Sweden,61.3501078,16.373663
Acton Vale,Canada,45.65007,-72.56582
Jiwei,China,31.848137,117.284858
Stung Treng,Cambodia,13.576473,105.9699878
Chengdong,China,36.599744,101.803717
Qikeshu,China,38.913307,115.484517
Ninove,Belgium,50.8441986,3.9438609
Kinzan,South Korea,36.10306,127.48889
Veltruby,Czech Republic,50.0705922,15.1845475
Orléans,France,47.3591366,2.8002946
Sarnia,Canada,42.9946912,-82394
Joutseno,Finland,61.1174188,28.5010914
Nowe Miasto,Poland,52.6806269,20.6620485
Le Chambon-Feugerolles,France,45.396383,4.3258963
Dębów,Poland,50.045621,22.4322889
Resende,Portugal,41.1060534,-7.9642047
São Lourenço de Mamporcão,Portugal,38.8905198,-7.5457633
Saint-Denis,Reunion,-20.891394,55.5178001
Göteborg,Sweden,57.7328579,12.0745352
Mamali,Philippines,6.878872,126.169972
Sanzhang,China,34.61672,109.248057
San Juan,Philippines,14.565668,121.0317737
Tyvriv,Ukraine,49.0130083,28.5042197
Guyangan,Indonesia,-7.5849174,111.8784707
Margos,Philippines,7.929855,123.6604152
Novomichurinsk,Russia,54.0254025,39.811744
Qingyang,China,35.709077,107.643631
Zhongcun,China,26.207631,113.767529
Borås,Sweden,57.7119589,12.9890358
Dagup,Philippines,16.597659,120.493376
Diang,Cameroon,4.5778968,13.3500652
Kobelyaky,Ukraine,49.1517927,34.1953871
Skore,Albania,40.1072856,20.3651385
Catamayo,Ecuador,-3.9879753,-79.3535714
Laibin,China,23.750306,109.221465
Kaolinovo,Bulgaria,43.6165639,27.091526
Kedungtuban,Indonesia,-7.1481355,111.4991334
Dehī,Afghanistan,34.496651,69.079674
Tapon,Philippines,10.0620494,123.444424
Sarandi,Brazil,-27.946449,-52.9164069
